,BYTES,BYTES_REV,PACKETS,PACKETS_REV,TYPE,DBI_BRST_BYTES,DBI_BRST_PACKETS,PKT_LENGTHS,PPI_PKT_DIRECTIONS,BRST_COUNT,REV_MORE,PKT_TIMES,DBI_BRST_TIME_START,DBI_BRST_TIME_STOP,DBI_BRST_DURATION,DBI_BRST_INTERVALS,PKT_LENGTHS_MEAN,PKT_LENGTHS_MAX,PKT_LENGTHS_STD,PKT_LENGTHS_25,PKT_LENGTHS_50,PKT_LENGTHS_75,TIME_INTERVALS,INTERVALS_MEAN,INTERVALS_MAX,INTERVALS_STD,INTERVALS_25,INTERVALS_50,INTERVALS_75,BRST_BYTES_MEAN,BRST_BYTES_MAX,BRST_BYTES_STD,BRST_BYTES_25,BRST_BYTES_50,BRST_BYTES_75,BRST_PACKETS_MEAN,BRST_PACKETS_MAX,BRST_PACKETS_STD,BRST_PACKETS_25,BRST_PACKETS_50,BRST_PACKETS_75,BRST_INTERVALS_MEAN,BRST_INTERVALS_MAX,BRST_INTERVALS_STD,BRST_INTERVALS_25,BRST_INTERVALS_50,BRST_INTERVALS_75,BRST_DURATION_MEAN,BRST_DURATION_MAX,BRST_DURATION_STD,BRST_DURATION_25,BRST_DURATION_50,BRST_DURATION_75,PCA_DBI_BRST_BYTES_0,PCA_DBI_BRST_BYTES_1,PCA_DBI_BRST_PACKETS_0,PCA_DBI_BRST_PACKETS_1,PCA_DBI_BRST_TIME_START_0,PCA_DBI_BRST_TIME_START_1,PCA_DBI_BRST_TIME_STOP_0,PCA_DBI_BRST_TIME_STOP_1,PCA_PKT_LENGTHS_0,PCA_PKT_LENGTHS_1,PCA_BRST_INTERVALS_0,PCA_BRST_INTERVALS_1,PCA_BRST_DURATION_0,PCA_BRST_DURATION_1,BRST_BYTES_0,BRST_BYTES_1,BRST_BYTES_2,BRST_BYTES_3,BRST_BYTES_4,BRST_BYTES_5,BRST_BYTES_6,BRST_BYTES_7,BRST_BYTES_8,BRST_BYTES_9,BRST_PACKETS_0,BRST_PACKETS_1,BRST_PACKETS_2,BRST_PACKETS_3,BRST_PACKETS_4,BRST_PACKETS_5,BRST_PACKETS_6,BRST_PACKETS_7,BRST_PACKETS_8,BRST_PACKETS_9
0,57363.0,12066294.0,1199.0,9548.0,L,[11684362],[9543],"[ 517 1300 1300  906   64 1300  178  200   30 1300 1300  980 1300 1300
 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300
 1300 1300]","[ 1 -1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1]",1,1,"[0.005 0.01  0.01  0.01  0.02  0.022 0.022 0.024 0.024 0.024 0.024 0.024
 0.024 0.024 0.024 0.024 0.024 0.024 0.025 0.025 0.037 0.037 0.037 0.037
 0.037 0.037 0.037 0.037 0.038 0.038]",[0.01],[9.283],[9.273],[0],1092.5,1300,415.8732779745933,1300.0,1300.0,1300.0,"[0.005 0.    0.    0.01  0.002 0.    0.002 0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.001 0.    0.012 0.    0.    0.    0.
 0.    0.    0.    0.001 0.   ]",0.0011379310344827587,0.011999999999999997,0.0028854466926168314,0.0,0.0,0.0,11684362.0,11684362,0.0,11684362.0,11684362.0,11684362.0,9543.0,9543,0.0,9543.0,9543.0,9543.0,0.0,0.0,0.0,0.0,0.0,0.0,9.273,9.273,0.0,9.273,9.273,9.273,-0.34354660194255504,-0.011014309942762868,-0.34931836167034735,-0.0029484204992284817,-0.06407421304289745,0.11920473738394304,-0.06581184175565612,0.12385485752687071,4.268333705775171,1.0591087478837133,-1.0084250664039012,-0.22387516373980473,-0.35053543550578076,0.04237748663716159,11684362,0,0,0,0,0,0,0,0,0,9543,0,0,0,0,0,0,0,0,0
1,779698.0,38492555.0,14539.0,28466.0,L,[37012315],[28446],"[ 203 1368 1368  469   93  195 1166  207 1368 1368  502 1368 1368 1368
 1368 1368 1368 1368 1368 1368 1368 1368 1368 1368 1368 1368 1368 1368
 1368 1368]","[ 1 -1 -1 -1  1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1]",1,1,"[0.009 0.015 0.015 0.015 0.038 0.039 0.055 0.067 0.067 0.067 0.067 0.067
 0.067 0.067 0.068 0.068 0.068 0.069 0.069 0.069 0.07  0.075 0.075 0.075
 0.075 0.075 0.075 0.076 0.076 0.076]",[0.015],[33.919],[33.904],[0],1143.3,1368,439.3540068479327,1368.0,1368.0,1368.0,"[0.006 0.    0.    0.023 0.001 0.016 0.012 0.    0.    0.    0.    0.
 0.    0.001 0.    0.    0.001 0.    0.    0.001 0.005 0.    0.    0.
 0.    0.    0.001 0.    0.   ]",0.0023103448275862072,0.023,0.00538262497348941,0.0,0.0,0.0010000000000000009,37012315.0,37012315,0.0,37012315.0,37012315.0,37012315.0,28446.0,28446,0.0,28446.0,28446.0,28446.0,0.0,0.0,0.0,0.0,0.0,0.0,33.903999999999996,33.903999999999996,0.0,33.903999999999996,33.903999999999996,33.903999999999996,-0.3393073614676886,0.0887026759792785,-0.3452964520098562,0.1003391484549267,-0.06407193639166439,0.11921361081641206,-0.05475129849582573,0.16753633141340749,4.754931060104816,1.4638675677701916,-1.0084250664038141,-0.22387516373952132,-0.3392776686760055,-0.13173258004354668,37012315,0,0,0,0,0,0,0,0,0,28446,0,0,0,0,0,0,0,0,0
2,278099.0,43349394.0,4624.0,28939.0,L,[25835232  3228530  1571739  3201768  1601221  3216432  1585429  1604183],[17863  2232  1087  2214  1107  2224  1096  1109],"[ 517 1448 1448  610   64 1315  197 1448 1448 1448 1448 1448 1448 1448
 1448 1448 1448 1448 1448 1448 1448 1448 1448 1448 1448 1448 1448 1448
 1448 1448]","[ 1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1]",8,1,"[0.022 0.028 0.028 0.03  0.05  0.05  0.051 0.051 0.051 0.053 0.053 0.054
 0.054 0.056 0.056 0.058 0.058 0.059 0.059 0.064 0.064 0.066 0.066 0.067
 0.067 0.069 0.069 0.07  0.07  0.072]",[ 0.028  5.641  8.549 11.579 14.586 17.587 20.625 23.587],[ 3.493  6.033  8.732 11.965 14.769 18.173 20.781 23.781],[3.465 0.392 0.183 0.386 0.183 0.586 0.156 0.194],[2.148 2.516 2.847 2.621 2.818 2.452 2.806],1296.7666666666667,1448,382.14331372172694,1448.0,1448.0,1448.0,"[0.006 0.    0.002 0.02  0.    0.001 0.    0.    0.002 0.    0.001 0.
 0.002 0.    0.002 0.    0.001 0.    0.005 0.    0.002 0.    0.001 0.
 0.002 0.    0.001 0.    0.002]",0.0017241379310344825,0.020000000000000004,0.0037499108193914193,0.0,0.000999999999999994,0.0020000000000000018,5230566.75,25835232,7824081.445831353,1597273.0,2402975.5,3219456.5,3616.5,17863,5409.737770909049,1104.25,1661.5,2226.0,2.601142857142858,2.8470000000000013,0.2344186904855917,2.4840000000000004,2.6210000000000004,2.8120000000000003,0.6931249999999994,3.465,1.0569917735607028,0.18299999999999983,0.28999999999999915,0.4404999999999999,0.5263348342695676,0.749804650417627,0.49924554734415877,0.7720578563332519,0.0014206313364224692,0.11490063691213355,-0.0015928748596101836,0.10906919120124463,5.916513797209571,0.03162601723764886,-0.17300576170129925,0.6980232982387669,-0.2204261954287183,-0.04272613020916065,25835232,3228530,1571739,3201768,1601221,3216432,1585429,1604183,0,0,17863,2232,1087,2214,1107,2224,1096,1109,0,0
3,143766.0,16941036.0,2252.0,11364.0,L,"[1719683  864661  861008  854885  898346  819840  854518  866211  854086
  862989  860618  862164  862604  863815  851171]","[1205  599  598  592  623  569  592  600  591  597  596  598  597  598
  589]","[ 517 1448 1448  305   93   51 1302 1302  207 1448 1448  706 1448 1448
 1448 1448 1448 1448 1448 1448 1448 1448 1448 1448 1448 1448 1448 1448
 1448 1448]","[ 1 -1 -1 -1  1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1]",15,1,"[0.01  0.015 0.015 0.015 0.046 0.046 0.056 0.103 0.184 0.184 0.184 0.184
 0.185 0.185 0.185 0.186 0.186 0.186 0.186 0.186 0.186 0.188 0.192 0.192
 0.193 0.193 0.193 0.194 0.194 0.194]","[1.5000e-02 5.1550e+00 6.2650e+00 7.4960e+00 9.5530e+00 1.1603e+01
 1.3549e+01 1.5488e+01 1.7478e+01 1.9475e+01 2.1475e+01 2.3499e+01
 2.5453e+01 2.7461e+01 2.9450e+01]","[ 0.696  5.206  6.34   7.561  9.632 11.681 13.616 15.557 17.55  19.546
 21.551 23.577 25.524 27.535 29.541]","[0.681 0.051 0.075 0.065 0.079 0.078 0.067 0.069 0.072 0.071 0.076 0.078
 0.071 0.074 0.091]","[4.459 1.059 1.156 1.992 1.971 1.868 1.872 1.921 1.925 1.929 1.948 1.876
 1.937 1.915]",1211.3,1448,462.3604041581991,1338.5,1448.0,1448.0,"[0.005 0.    0.    0.031 0.    0.01  0.047 0.081 0.    0.    0.    0.001
 0.    0.    0.001 0.    0.    0.    0.    0.    0.002 0.004 0.    0.001
 0.    0.    0.001 0.    0.   ]",0.006344827586206897,0.081,0.017332997954010197,0.0,0.0,0.0010000000000000009,917106.6,1719683,215017.27667416245,854701.5,862164.0,864238.0,636.2666666666667,1205,152.35111493593416,592.0,597.0,598.5,1.9877142857142858,4.4590000000000005,0.742740045715999,1.8729999999999993,1.923000000000001,1.9452499999999997,0.11320000000000002,0.6809999999999999,0.15197727900358438,0.0699999999999994,0.07400000000000162,0.07800000000000118,0.8690728960133047,-0.20780782055060212,0.8463541644083793,-0.2139152942713649,0.08776496202888173,0.060845861066350856,0.08287955730606447,0.05091865814805707,5.31451754005396,1.307584111046685,1.0681405563339736,-0.39673239473222804,-0.23198568781185958,0.12318203899598962,1719683,864661,861008,854885,898346,819840,854518,866211,854086,862989,1205,599,598,592,623,569,592,600,591,597
4,1790845.0,115404196.0,37979.0,77255.0,L,"[1003845  649254  763458  781127  742554  758925  804033  669031  740152
  778697  714447  734195  750107  773171  811196]",[691 446 524 537 511 522 552 461 509 537 492 507 516 532 557],"[ 517 1460 1460  586   64 1378  200 1460 1460  304 1460 1460 1460 1460
 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460
 1460 1460]","[ 1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1]",15,1,"[0.005 0.011 0.011 0.011 0.023 0.025 0.045 0.045 0.045 0.045 0.045 0.045
 0.045 0.045 0.045 0.045 0.046 0.046 0.046 0.049 0.049 0.049 0.049 0.05
 0.05  0.05  0.05  0.05  0.05  0.05 ]","[1.1000e-02 2.2890e+00 4.2870e+00 5.5520e+00 7.5570e+00 9.5390e+00
 1.1541e+01 1.3531e+01 1.5526e+01 1.7591e+01 1.9552e+01 2.1566e+01
 2.3552e+01 2.5553e+01 2.7558e+01]","[ 0.233  2.343  4.349  5.613  7.613  9.603 11.604 13.581 15.773 17.652
 19.606 21.65  23.62  25.611 27.62 ]","[0.222 0.054 0.062 0.061 0.056 0.064 0.063 0.05  0.247 0.061 0.054 0.084
 0.068 0.058 0.062]","[2.056 1.944 1.203 1.944 1.926 1.938 1.927 1.945 1.818 1.9   1.96  1.902
 1.933 1.947]",1269.6333333333334,1460,426.04447994181174,1460.0,1460.0,1460.0,"[0.006 0.    0.    0.012 0.002 0.02  0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.001 0.    0.    0.003 0.    0.    0.    0.001 0.
 0.    0.    0.    0.    0.   ]",0.0015517241379310344,0.019999999999999997,0.004255513315579277,0.0,0.0,0.0,764946.1333333333,1003845,76903.86178154875,737173.5,758925.0,779912.0,526.2666666666667,691,52.86141209700029,508.0,522.0,537.0,1.881642857142857,2.056,0.19416473386676336,1.9080000000000006,1.9355000000000002,1.9447500000000002,0.08440000000000018,0.2469999999999999,0.05952568073249272,0.05699999999999994,0.06200000000000028,0.06600000000000072,0.7221775455739882,-0.20270876065462942,0.6944737759651188,-0.2069938394993495,0.06963991743718294,0.06386307884409778,0.06456238683674348,0.053123288506239215,5.731270003042022,0.6546701100697754,1.0666909381923433,-0.4586246501361742,-0.22426961759279818,0.12575703139953387,1003845,649254,763458,781127,742554,758925,804033,669031,740152,778697,691,446,524,537,511,522,552,461,509,537
5,1790845.0,115404196.0,37979.0,77255.0,L,"[769784 760966 859946 604202 899570 591794 747959 747651 820700 913772
 511744 808038 688517 970398 692541]",[529 527 590 416 618 408 522 514 564 628 353 556 474 667 476],"[ 517 1460 1460  586   64 1378  200 1460 1460  304 1460 1460 1460 1460
 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460
 1460 1460]","[ 1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1]",15,1,"[0.005 0.011 0.011 0.011 0.023 0.025 0.045 0.045 0.045 0.045 0.045 0.045
 0.045 0.045 0.045 0.045 0.046 0.046 0.046 0.049 0.049 0.049 0.049 0.05
 0.05  0.05  0.05  0.05  0.05  0.05 ]","[299.585 301.577 303.574 305.575 307.567 309.557 311.685 313.58  315.583
 317.577 319.574 321.571 323.558 325.595 327.594]","[299.644 301.656 303.639 305.619 307.635 309.599 311.987 313.634 315.646
 317.648 319.61  321.633 323.61  325.67  327.645]","[0.059 0.079 0.065 0.044 0.068 0.042 0.302 0.054 0.063 0.071 0.036 0.062
 0.052 0.075 0.051]","[1.933 1.918 1.936 1.948 1.922 2.086 1.593 1.949 1.931 1.926 1.961 1.925
 1.985 1.924]",1269.6333333333334,1460,426.04447994181174,1460.0,1460.0,1460.0,"[0.006 0.    0.    0.012 0.002 0.02  0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.001 0.    0.    0.003 0.    0.    0.    0.001 0.
 0.    0.    0.    0.    0.   ]",0.0015517241379310344,0.019999999999999997,0.004255513315579277,0.0,0.0,0.0,759172.1333333333,970398,123184.41168690498,690529.0,760966.0,840323.0,522.8,667,84.20704641932684,475.0,527.0,577.0,1.9240714285714253,2.0860000000000127,0.10085878691498033,1.9242499999999865,1.931999999999988,1.948750000000004,0.07486666666666981,0.3020000000000209,0.061857757979276486,0.05150000000000432,0.06199999999995498,0.069500000000005,0.7059143182889812,-0.19996106031840227,0.6812219999947754,-0.20376873358611006,2.911991271869531,0.02277393420661931,2.905640935781817,0.01205923830025977,5.731270003042022,0.6546701100697754,1.0944962859791247,-0.4182048800446051,-0.2421932886039714,0.11747020718768042,769784,760966,859946,604202,899570,591794,747959,747651,820700,913772,529,527,590,416,618,408,522,514,564,628
6,1790845.0,115404196.0,37979.0,77255.0,L,"[702108 660576 764257 709844 868139 766071 713976 659438 799010 758721
 714079 704522 854062 753008 637071]",[484 455 525 488 597 526 492 454 549 521 490 484 586 518 438],"[ 517 1460 1460  586   64 1378  200 1460 1460  304 1460 1460 1460 1460
 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460 1460
 1460 1460]","[ 1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1]",15,1,"[0.005 0.011 0.011 0.011 0.023 0.025 0.045 0.045 0.045 0.045 0.045 0.045
 0.045 0.045 0.045 0.045 0.046 0.046 0.046 0.049 0.049 0.049 0.049 0.05
 0.05  0.05  0.05  0.05  0.05  0.05 ]","[599.554 601.557 603.558 605.558 607.551 609.538 611.558 613.578 615.56
 617.601 619.581 621.556 623.553 625.573 627.577]","[599.605 601.606 603.616 605.61  607.808 609.597 611.612 613.628 615.621
 617.658 619.632 621.609 623.619 625.631 627.624]","[0.051 0.049 0.058 0.052 0.257 0.059 0.054 0.05  0.061 0.057 0.051 0.053
 0.066 0.058 0.047]","[1.952 1.952 1.942 1.941 1.73  1.961 1.966 1.932 1.98  1.923 1.924 1.944
 1.954 1.946]",1269.6333333333334,1460,426.04447994181174,1460.0,1460.0,1460.0,"[0.006 0.    0.    0.012 0.002 0.02  0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.001 0.    0.    0.003 0.    0.    0.    0.001 0.
 0.    0.    0.    0.    0.   ]",0.0015517241379310344,0.019999999999999997,0.004255513315579277,0.0,0.0,0.0,737658.8,868139,64788.52674170019,703315.0,714079.0,765164.0,507.1333333333333,597,44.206887346757284,484.0,492.0,525.5,1.9319285714285732,1.9800000000000182,0.05797470419527872,1.9342499999999347,1.9449999999999932,1.9534999999999627,0.06820000000000163,0.25699999999994816,0.050699375407052466,0.05099999999998772,0.053999999999973625,0.0584999999999809,0.7022865947565021,-0.17730198598333563,0.6736344582213556,-0.1780220595495314,5.754955826913483,-0.016839611538358674,5.7473293728927,-0.027299307063706313,5.731270003042022,0.6546701100697754,1.1062799945511854,-0.4250972779351966,-0.25557339187009415,0.10734573732459093,702108,660576,764257,709844,868139,766071,713976,659438,799010,758721,484,455,525,488,597,526,492,454,549,521
7,676627.0,6138765.0,1538.0,4698.0,L,"[27667 26952 40705 26906 40787 26865 26814 26899 26871 26964 26873 26845
 26784 26656 26740]",[22 20 32 21 32 20 21 20 22 23 22 22 21 19 22],"[ 517  137   51 1393 1460 1460    5 1460 1460 1460  945 1460 1460 1460
 1114 1393 1460 1460 1460 1460 1460  921 1460 1460 1460 1185 1420 1460
 1460 1460]","[ 1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1  1 -1 -1 -1]",15,1,"[0.008 0.009 0.017 0.017 0.021 0.021 0.021 0.021 0.021 0.021 0.021 0.021
 0.021 0.021 0.03  0.918 0.922 0.922 0.922 0.922 0.922 0.922 0.922 0.922
 0.922 0.922 2.003 2.008 2.008 2.008]","[9.0000e-03 2.0080e+00 3.0770e+00 5.9910e+00 7.1300e+00 9.9920e+00
 1.1971e+01 1.3972e+01 1.5911e+01 1.7831e+01 1.9785e+01 2.1732e+01
 2.3671e+01 2.5592e+01 2.7511e+01]","[ 0.922  2.031  4.191  6.071  8.28  10.172 12.091 14.011 15.972 17.972
 19.962 21.949 23.96  25.952 27.951]","[0.913 0.023 1.114 0.08  1.15  0.18  0.12  0.039 0.061 0.141 0.177 0.217
 0.289 0.36  0.44 ]","[1.086 1.046 1.8   1.059 1.712 1.799 1.881 1.9   1.859 1.813 1.77  1.722
 1.632 1.559]",1227.3666666666666,1460,442.7189088148622,1237.0,1460.0,1460.0,"[1.000e-03 8.000e-03 0.000e+00 4.000e-03 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 9.000e-03
 8.880e-01 4.000e-03 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.081e+00 5.000e-03 0.000e+00
 0.000e+00]",0.06896551724137931,1.081,0.250473824464701,0.0,0.0,0.0009999999999999992,28755.2,40787,4708.200097701881,26829.5,26873.0,26958.0,22.6,32,3.8262252939417984,20.5,22.0,22.0,1.6169999999999995,1.9000000000000004,0.3023470097184926,1.5772499999999976,1.7459999999999987,1.809749999999999,0.35360000000000047,1.1499999999999995,0.37287724521617016,0.09999999999999964,0.17999999999999972,0.40000000000000213,-0.306571280821763,-0.05997180526599291,-0.3076939191495023,-0.058880051679676186,0.07032505601127519,0.06284386300525376,0.06770585545019939,0.053122210513639495,5.383637881066511,-1.295928782599662,0.855630088811259,-0.5049093768033122,0.03893244952499357,0.10525615052451257,27667,26952,40705,26906,40787,26865,26814,26899,26871,26964,22,20,32,21,32,20,21,20,22,23
8,798583.0,248958258.0,14745.0,190012.0,L,[241357766],[189859],"[ 517 1386 1386  734   64 1370  200   29 1386 1386  808 1386 1386 1386
 1386 1386 1386 1386 1386 1386 1386 1386 1386 1386 1386 1386 1386 1386
 1386 1386]","[ 1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1]",1,1,"[0.007 0.013 0.013 0.013 0.024 0.024 0.026 0.026 0.026 0.026 0.026 0.027
 0.027 0.027 0.027 0.027 0.027 0.028 0.028 0.033 0.033 0.033 0.033 0.034
 0.034 0.034 0.034 0.038 0.038 0.038]",[0.013],[299.761],[299.748],[0],1186.6666666666667,1386,421.0431754055106,1386.0,1386.0,1386.0,"[0.006 0.    0.    0.011 0.    0.002 0.    0.    0.    0.    0.001 0.
 0.    0.    0.    0.    0.001 0.    0.005 0.    0.    0.    0.001 0.
 0.    0.    0.004 0.    0.   ]",0.0010689655172413791,0.011000000000000001,0.002434394840651419,0.0,0.0,0.0010000000000000009,241357766.0,241357766,0.0,241357766.0,241357766.0,241357766.0,189859.0,189859,0.0,189859.0,189859.0,189859.0,0.0,0.0,0.0,0.0,0.0,0.0,299.74800000000005,299.74800000000005,0.0,299.74800000000005,299.74800000000005,299.74800000000005,-0.3051052486189601,0.8932174530142512,-0.3109533052068182,0.9823132460853197,-0.06407284705212624,0.11921006144324339,0.06460074490823665,0.6388941159939354,5.051265362815003,0.8690445431761622,-1.0084250664038155,-0.22387516373948055,-0.21777185222072348,-2.0109139598711323,241357766,0,0,0,0,0,0,0,0,0,189859,0,0,0,0,0,0,0,0,0
9,798583.0,248958258.0,14745.0,190012.0,L,[184759155],[145770],"[ 517 1386 1386  734   64 1370  200   29 1386 1386  808 1386 1386 1386
 1386 1386 1386 1386 1386 1386 1386 1386 1386 1386 1386 1386 1386 1386
 1386 1386]","[ 1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1]",1,1,"[0.007 0.013 0.013 0.013 0.024 0.024 0.026 0.026 0.026 0.026 0.026 0.027
 0.027 0.027 0.027 0.027 0.027 0.028 0.028 0.033 0.033 0.033 0.033 0.034
 0.034 0.034 0.034 0.038 0.038 0.038]",[299.761],[529.428],[229.667],[0],1186.6666666666667,1386,421.0431754055106,1386.0,1386.0,1386.0,"[0.006 0.    0.    0.011 0.    0.002 0.    0.    0.    0.    0.001 0.
 0.    0.    0.    0.    0.001 0.    0.005 0.    0.    0.    0.001 0.
 0.    0.    0.004 0.    0.   ]",0.0010689655172413791,0.011000000000000001,0.002434394840651419,0.0,0.0,0.0010000000000000009,184759155.0,184759155,0.0,184759155.0,184759155.0,184759155.0,145770.0,145770,0.0,145770.0,145770.0,145770.0,0.0,0.0,0.0,0.0,0.0,0.0,229.66699999999997,229.66699999999997,0.0,229.66699999999997,229.66699999999997,229.66699999999997,-0.31457838379779574,0.6703868556785697,-0.320333931298891,0.7414072720285001,0.07241147900711097,0.6511688139571541,0.16771171214622316,1.0461109151124048,5.051265362815003,0.8690445431761622,-1.0084250664038155,-0.22387516373947583,-0.24980285206651046,-1.5155297861462182,184759155,0,0,0,0,0,0,0,0,0,145770,0,0,0,0,0,0,0,0,0
