packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tls_handshake_type,tls_cipher_suite,flow_size,flow_volume,inter_packet_time
1285.0,1741014889.604598,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,1285.0,1.0,0.007310152053833008
1292.0,1741014889.604747,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,2577.0,2.0,0.00014901161193847656
895.0,1741014889.604783,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,3472.0,3.0,3.600120544433594e-05
1285.0,1741014889.612348,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,4757.0,4.0,0.007565021514892578
1292.0,1741014889.612474,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,6049.0,5.0,0.000125885009765625
542.0,1741014889.612588,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,6591.0,6.0,0.00011396408081054688
1285.0,1741014889.61374,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,7876.0,7.0,0.00115203857421875
1292.0,1741014889.613835,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,9168.0,8.0,9.512901306152344e-05
633.0,1741014889.613878,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,9801.0,9.0,4.291534423828125e-05
1285.0,1741014889.6155,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,11086.0,10.0,0.0016219615936279297
1292.0,1741014889.61559,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,12378.0,11.0,9.012222290039062e-05
1025.0,1741014889.615696,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,13403.0,12.0,0.00010585784912109375
733.0,1741014889.62305,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,14136.0,13.0,0.007354021072387695
84.0,1741014889.683327,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,84.0,1.0,0.007310152053833008
73.0,1741014889.697169,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,157.0,2.0,0.013842105865478516
75.0,1741014889.700779,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,14211.0,14.0,0.0777289867401123
727.0,1741014889.719326,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,884.0,3.0,0.022156953811645508
89.0,1741014889.721427,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,973.0,4.0,0.0021009445190429688
680.0,1741014889.723136,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,1653.0,5.0,0.001708984375
98.0,1741014889.723136,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,1751.0,6.0,0.0
685.0,1741014889.725727,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,2436.0,7.0,0.0025911331176757812
119.0,1741014889.727305,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,2555.0,8.0,0.0015778541564941406
683.0,1741014889.727305,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,3238.0,9.0,0.0
214.0,1741014889.727305,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,3452.0,10.0,0.0
687.0,1741014889.728782,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,4139.0,11.0,0.0014770030975341797
316.0,1741014889.730771,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,4455.0,12.0,0.001989126205444336
87.0,1741014889.731435,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,14298.0,15.0,0.030656099319458008
68.0,1741014889.805905,DATA,216.58.206.78,192.168.20.132,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,4523.0,13.0,0.0751340389251709
1285.0,1741014891.35892,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,15583.0,16.0,1.6274850368499756
1292.0,1741014891.36109,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,16875.0,17.0,0.0021698474884033203
1292.0,1741014891.361177,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,18167.0,18.0,8.702278137207031e-05
1292.0,1741014891.361229,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,19459.0,19.0,5.1975250244140625e-05
1292.0,1741014891.361267,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,20751.0,20.0,3.814697265625e-05
1292.0,1741014891.361306,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,22043.0,21.0,3.886222839355469e-05
1292.0,1741014891.36133,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,23335.0,22.0,2.4080276489257812e-05
1292.0,1741014891.361354,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,24627.0,23.0,2.4080276489257812e-05
1292.0,1741014891.361377,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,25919.0,24.0,2.288818359375e-05
1292.0,1741014891.361396,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,27211.0,25.0,1.9073486328125e-05
1292.0,1741014891.361423,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,28503.0,26.0,2.6941299438476562e-05
676.0,1741014891.361515,DATA,192.168.20.132,216.58.206.78,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,29179.0,27.0,9.202957153320312e-05
306.0,1741014891.380313,DATA,192.168.20.132,172.64.41.3,UDP,Unknown,1832.0,1832.0,131072.0,16.0,Unknown,Unknown,306.0,1.0,0.007310152053833008
