packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tls_handshake_type,tls_cipher_suite,flow_size,flow_volume,inter_packet_time,avg_rtt
66.0,1740598977.045667,TCP,10.12.17.12,170.114.52.4,TCP,Unknown,0.0,0.0,64240.0,2.0,Unknown,Unknown,66.0,1.0,0.0001399517059326172,
66.0,1740598977.091411,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,0.0,1.0,65535.0,18.0,Unknown,Unknown,66.0,1.0,0.0001399517059326172,
54.0,1740598977.091515,TCP,10.12.17.12,170.114.52.4,TCP,Unknown,1.0,1.0,131072.0,16.0,Unknown,Unknown,120.0,2.0,0.04584813117980957,0.04584813117980957
571.0,1740598977.092871,TLS,10.12.17.12,170.114.52.4,TCP,0x0301,1.0,1.0,131072.0,24.0,1.0,Unknown,691.0,3.0,0.001355886459350586,0.04584813117980957
56.0,1740598977.138638,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,1.0,518.0,73728.0,16.0,Unknown,Unknown,122.0,2.0,0.047226905822753906,0.047226905822753906
1434.0,1740598977.230763,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,1.0,518.0,73728.0,16.0,2.0,Unknown,1556.0,3.0,0.09212493896484375,0.06967592239379883
722.0,1740598977.230763,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,1381.0,518.0,73728.0,24.0,Unknown,Unknown,2278.0,4.0,0.0,0.06967592239379883
1434.0,1740598977.230763,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,2049.0,518.0,73728.0,16.0,Unknown,Unknown,3712.0,5.0,0.0,0.04645061492919922
660.0,1740598977.230763,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,3429.0,518.0,73728.0,24.0,Unknown,Unknown,4372.0,6.0,0.0,0.04645061492919922
54.0,1740598977.231375,TCP,10.12.17.12,170.114.52.4,TCP,Unknown,518.0,4035.0,131072.0,16.0,Unknown,Unknown,745.0,4.0,0.1385040283203125,0.09217607975006104
134.0,1740598977.313149,TLS,10.12.17.12,170.114.52.4,TCP,0x0303,518.0,4035.0,131072.0,24.0,Unknown,Unknown,879.0,5.0,0.08177399635314941,0.09217607975006104
1434.0,1740598977.313706,TCP,10.12.17.12,170.114.52.4,TCP,Unknown,1978.0,4035.0,131072.0,16.0,Unknown,Unknown,2313.0,6.0,0.00055694580078125,0.06163636843363444
352.0,1740598977.313706,TLS,10.12.17.12,170.114.52.4,TCP,0x0303,3358.0,4035.0,131072.0,24.0,Unknown,Unknown,2665.0,7.0,0.0,0.06163636843363444
56.0,1740598977.358303,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,4035.0,598.0,73728.0,16.0,Unknown,Unknown,4428.0,7.0,0.12754011154174805,0.06672298908233643
56.0,1740598977.359376,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,4035.0,1978.0,73728.0,16.0,Unknown,Unknown,4484.0,8.0,0.0010728836059570312,0.05359296798706055
56.0,1740598977.359376,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,4035.0,3656.0,73728.0,16.0,Unknown,Unknown,4540.0,9.0,0.0,0.04466080665588379
1434.0,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,4035.0,3656.0,73728.0,16.0,Unknown,Unknown,5974.0,10.0,0.31665706634521484,0.08351741518293108
1434.0,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,5415.0,3656.0,73728.0,24.0,Unknown,Unknown,7408.0,11.0,0.0,0.08351741518293108
