packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tcp_srcport,tcp_dstport,inter_packet_time,flow_size,flow_volume,packets_per_flow,tcp_retransmissions,payload_entropy,tls_handshake_type,tls_cipher_suite
66,1740598977.045667,TCP,10.12.17.12,170.114.52.4,TCP,Unknown,0,0,64240,2,58224,443,,1,66,1,0,,,Unknown
66,1740598977.091411,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,0,1,65535,18,443,58224,0.04574418067932129,1,66,1,1,,,Unknown
54,1740598977.091515,TCP,10.12.17.12,170.114.52.4,TCP,Unknown,1,1,131072,16,58224,443,0.00010395050048828125,2,120,2,0,,,Unknown
571,1740598977.092871,TLS,10.12.17.12,170.114.52.4,TCP,0x0301,1,1,131072,24,58224,443,0.001355886459350586,3,691,3,1,,1.0,Unknown
56,1740598977.138638,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,1,518,73728,16,443,58224,0.04576706886291504,2,122,2,1,,,Unknown
1434,1740598977.230763,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,1,518,73728,16,443,58224,0.09212493896484375,3,1556,3,1,,2.0,Unknown
722,1740598977.230763,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,1381,518,73728,24,443,58224,0.0,4,2278,4,0,,,Unknown
1434,1740598977.230763,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,2049,518,73728,16,443,58224,0.0,5,3712,5,0,,,Unknown
660,1740598977.230763,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,3429,518,73728,24,443,58224,0.0,6,4372,6,0,,,Unknown
54,1740598977.231375,TCP,10.12.17.12,170.114.52.4,TCP,Unknown,518,4035,131072,16,58224,443,0.0006120204925537109,4,745,4,0,,,Unknown
134,1740598977.313149,TLS,10.12.17.12,170.114.52.4,TCP,0x0303,518,4035,131072,24,58224,443,0.08177399635314941,5,879,5,1,,,Unknown
1434,1740598977.313706,TCP,10.12.17.12,170.114.52.4,TCP,Unknown,1978,4035,131072,16,58224,443,0.00055694580078125,6,2313,6,0,,,Unknown
352,1740598977.313706,TLS,10.12.17.12,170.114.52.4,TCP,0x0303,3358,4035,131072,24,58224,443,0.0,7,2665,7,0,,,Unknown
56,1740598977.358303,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,4035,598,73728,16,443,58224,0.04459714889526367,7,4428,7,0,,,Unknown
56,1740598977.359376,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,4035,1978,73728,16,443,58224,0.0010728836059570312,8,4484,8,1,,,Unknown
56,1740598977.359376,TCP,170.114.52.4,10.12.17.12,TCP,Unknown,4035,3656,73728,16,443,58224,0.0,9,4540,9,1,,,Unknown
1434,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,4035,3656,73728,16,443,58224,0.31665706634521484,10,5974,10,1,,,Unknown
1434,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,5415,3656,73728,24,443,58224,0.0,11,7408,11,0,,,Unknown
1390,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,6795,3656,73728,24,443,58224,0.0,12,8798,12,0,,,Unknown
1434,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,8131,3656,73728,16,443,58224,0.0,13,10232,13,0,,,Unknown
1434,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,9511,3656,73728,24,443,58224,0.0,14,11666,14,0,,,Unknown
1434,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,10891,3656,73728,16,443,58224,0.0,15,13100,15,0,,,Unknown
1434,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,12271,3656,73728,24,443,58224,0.0,16,14534,16,0,,,Unknown
1312,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,13651,3656,73728,24,443,58224,0.0,17,15846,17,0,,,Unknown
1434,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,16289,3656,73728,24,443,58224,0.0,18,17280,18,0,,,Unknown
1434,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,17669,3656,73728,16,443,58224,0.0,19,18714,19,0,,,Unknown
1434,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,19049,3656,73728,24,443,58224,0.0,20,20148,20,0,,,Unknown
1434,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,20429,3656,73728,16,443,58224,0.0,21,21582,21,0,,,Unknown
109,1740598977.676033,TLS,170.114.52.4,10.12.17.12,TCP,0x0303,21809,3656,73728,24,443,58224,0.0,22,21691,22,0,,,Unknown
