packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tls_handshake_type,tls_cipher_suite,flow_size,flow_volume,inter_packet_time,avg_rtt
214.0,1739284568.806098,DATA,10.12.10.127,255.255.255.255,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,214.0,1.0,0.0007390975952148438,
81.0,1739284568.975951,MDNS,10.12.28.52,224.0.0.251,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,81.0,1.0,0.0007390975952148438,
119.0,1739284568.97614,MDNS,10.12.28.52,224.0.0.251,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,200.0,2.0,0.00018906593322753906,
75.0,1739284568.976201,LLMNR,10.12.28.52,224.0.0.252,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,75.0,1.0,0.0007390975952148438,
246.0,1739284570.114191,DATA,10.12.1.35,255.255.255.255,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,246.0,1.0,0.0007390975952148438,
120.0,1739284570.232606,DHCPV6,Unknown,Unknown,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,120.0,1.0,0.0007390975952148438,
163.0,1739284572.060403,DHCPV6,Unknown,Unknown,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,283.0,2.0,1.8277971744537354,
89.0,1739284573.507961,DNS,10.12.16.216,172.16.0.232,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,89.0,1.0,0.0007390975952148438,
89.0,1739284573.508167,DNS,10.12.16.216,172.16.0.232,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,89.0,1.0,0.0007390975952148438,
105.0,1739284573.512692,DNS,172.16.0.232,10.12.16.216,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,105.0,1.0,0.0007390975952148438,
78.0,1739284573.515673,DNS,10.12.16.216,172.16.0.232,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,78.0,1.0,0.0007390975952148438,
78.0,1739284573.515867,DNS,10.12.16.216,172.16.0.232,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,78.0,1.0,0.0007390975952148438,
190.0,1739284573.521654,DNS,172.16.0.232,10.12.16.216,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,190.0,1.0,0.0007390975952148438,
66.0,1739284573.523016,TCP,10.12.16.216,142.251.143.195,TCP,Unknown,0.0,0.0,64240.0,2.0,Unknown,Unknown,66.0,1.0,0.0007390975952148438,
79.0,1739284573.533613,DNS,10.12.16.216,172.16.0.232,UDP,Unknown,1896.0,1874.0,265984.0,17.0,Unknown,Unknown,79.0,1.0,0.0007390975952148438,
