packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tcp_srcport,tcp_dstport,inter_packet_time,flow_size,flow_volume,packets_per_flow,tcp_retransmissions,payload_entropy,tls_handshake_type,tls_cipher_suite
66,1739284573.523016,TCP,10.12.16.216,142.251.143.195,TCP,Unknown,0,0,64240,2,51374,443,0.0013620853424072266,1,66,1,0,,,Unknown
66,1739284573.534275,TCP,10.12.16.216,216.58.204.138,TCP,Unknown,0,0,64240,2,51375,443,0.00039005279541015625,1,66,1,1,,,Unknown
66,1739284573.561979,TCP,10.12.16.216,74.125.133.84,TCP,Unknown,0,0,64240,2,51376,443,0.003818035125732422,1,66,1,1,,,Unknown
66,1739284573.569949,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,0,0,64240,2,51377,443,0.004848003387451172,1,66,1,1,,,Unknown
66,1739284573.579494,TCP,142.251.143.195,10.12.16.216,TCP,Unknown,0,1,65535,18,443,51374,0.009268999099731445,1,66,1,1,,,Unknown
54,1739284573.579593,TCP,10.12.16.216,142.251.143.195,TCP,Unknown,1,1,131072,16,51374,443,9.894371032714844e-05,2,120,2,0,,,Unknown
509,1739284573.580191,TLS,10.12.16.216,142.251.143.195,TCP,0x0301,1381,1,131072,24,51374,443,0.0005979537963867188,3,629,3,0,,1.0,Unknown
66,1739284573.587214,TCP,216.58.204.138,10.12.16.216,TCP,Unknown,0,1,65535,18,443,51375,0.0070230960845947266,1,66,1,1,,,Unknown
54,1739284573.587309,TCP,10.12.16.216,216.58.204.138,TCP,Unknown,1,1,131072,16,51375,443,9.489059448242188e-05,2,120,2,1,,,Unknown
498,1739284573.587896,TLS,10.12.16.216,216.58.204.138,TCP,0x0301,1381,1,131072,24,51375,443,0.0005872249603271484,3,618,3,1,,1.0,Unknown
66,1739284573.622958,TCP,142.251.209.36,10.12.16.216,TCP,Unknown,0,1,65535,18,443,51377,0.012950897216796875,1,66,1,1,,,Unknown
54,1739284573.62304,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,1,1,131072,16,51377,443,8.20159912109375e-05,2,120,2,1,,,Unknown
494,1739284573.62337,TLS,10.12.16.216,142.251.209.36,TCP,0x0301,1381,1,131072,24,51377,443,0.0003299713134765625,3,614,3,1,,1.0,Unknown
