packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tls_handshake_type,tls_cipher_suite,flow_size,flow_volume,inter_packet_time,avg_rtt
92.0,1739284732.047673,NBNS,10.12.15.79,10.12.31.255,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,92.0,1.0,0.00015652179718017578,
288.0,1739284732.171154,MDNS,10.12.17.239,224.0.0.251,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,288.0,1.0,0.00015652179718017578,
92.0,1739284732.797349,NBNS,10.12.15.79,10.12.31.255,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,184.0,2.0,0.749675989151001,
75.0,1739284732.798373,LLMNR,10.12.15.79,224.0.0.252,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,75.0,1.0,0.00015652179718017578,
75.0,1739284732.799162,LLMNR,10.12.15.79,224.0.0.252,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,75.0,1.0,0.00015652179718017578,
75.0,1739284733.214397,LLMNR,10.12.15.79,224.0.0.252,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,150.0,2.0,0.41602396965026855,
75.0,1739284733.214579,LLMNR,10.12.15.79,224.0.0.252,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,150.0,2.0,0.4154171943664551,
92.0,1739284733.548353,NBNS,10.12.15.79,10.12.31.255,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,276.0,3.0,0.7510039806365967,
148.0,1739284733.62612,DHCPV6,Unknown,Unknown,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,148.0,1.0,0.00015652179718017578,
214.0,1739284734.015637,DATA,10.12.10.127,255.255.255.255,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,214.0,1.0,0.00015652179718017578,
83.0,1739284734.130201,DNS,10.12.9.184,224.0.0.249,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,83.0,1.0,0.00015652179718017578,
565.0,1739284734.130308,DNS,10.12.9.184,224.0.0.249,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,648.0,2.0,0.0001068115234375,
92.0,1739284734.301702,NBNS,10.12.15.79,10.12.31.255,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,368.0,4.0,0.7533490657806396,
92.0,1739284735.056528,NBNS,10.12.15.79,10.12.31.255,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,460.0,5.0,0.7548260688781738,
75.0,1739284735.057007,LLMNR,10.12.15.79,224.0.0.252,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,75.0,1.0,0.00015652179718017578,
75.0,1739284735.057914,LLMNR,10.12.15.79,224.0.0.252,UDP,Unknown,7565.0,7158.0,524288.0,16.0,Unknown,Unknown,75.0,1.0,0.00015652179718017578,
