packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tcp_srcport,tcp_dstport,inter_packet_time,flow_size,flow_volume,packets_per_flow,tcp_retransmissions,payload_entropy,tls_handshake_type,tls_cipher_suite,tls_cert_subject,tls_cert_issuer
66,1739284736.167452,TCP,10.12.16.216,204.79.197.203,TCP,Unknown,0,0,64240,2,51495,443,0.00789499282836914,1,66,1,0,,,Unknown,,
66,1739284736.221003,TCP,204.79.197.203,10.12.16.216,TCP,Unknown,0,1,65535,18,443,51495,0.009763956069946289,1,66,1,1,,,Unknown,,
54,1739284736.221093,TCP,10.12.16.216,204.79.197.203,TCP,Unknown,1,1,131072,16,51495,443,8.988380432128906e-05,2,120,2,0,,,Unknown,,
459,1739284736.221529,TLS,10.12.16.216,204.79.197.203,TCP,0x0301,1381,1,131072,24,51495,443,0.0004360675811767578,3,579,3,0,,1.0,Unknown,,
56,1739284736.274616,TCP,204.79.197.203,10.12.16.216,TCP,Unknown,1,1381,4195072,16,443,51495,0.020375967025756836,2,122,2,1,,,Unknown,,
56,1739284736.274616,TCP,204.79.197.203,10.12.16.216,TCP,Unknown,1,1786,4194560,16,443,51495,0.0,3,178,3,1,,,Unknown,,
153,1739284736.274616,TLS,204.79.197.203,10.12.16.216,TCP,0x0303,1,1786,4194560,24,443,51495,0.0,4,331,4,1,,2.0,Unknown,,
685,1739284736.27546,TLS,10.12.16.216,204.79.197.203,TCP,0x0303,1786,100,130816,24,51495,443,0.0008440017700195312,4,1264,4,0,,1.0,Unknown,,
56,1739284736.329919,TCP,204.79.197.203,10.12.16.216,TCP,Unknown,100,2417,4194048,16,443,51495,0.0049571990966796875,5,387,5,0,,,Unknown,,
1434,1739284736.330672,TLS,204.79.197.203,10.12.16.216,TCP,0x0303,100,2417,4194048,16,443,51495,0.0007529258728027344,6,1821,6,1,,2.0,Unknown,,
1434,1739284736.330672,TCP,204.79.197.203,10.12.16.216,TCP,Unknown,1480,2417,4194048,16,443,51495,0.0,7,3255,7,0,,,Unknown,,
1434,1739284736.330672,TCP,204.79.197.203,10.12.16.216,TCP,Unknown,2860,2417,4194048,16,443,51495,0.0,8,4689,8,0,,,Unknown,,
1434,1739284736.330672,TCP,204.79.197.203,10.12.16.216,TCP,Unknown,4240,2417,4194048,16,443,51495,0.0,9,6123,9,0,,,Unknown,,
565,1739284736.330672,TLS,204.79.197.203,10.12.16.216,TCP,0x0303,5620,2417,4194048,24,443,51495,0.0,10,6688,10,0,,,Unknown,,
54,1739284736.330751,TCP,10.12.16.216,204.79.197.203,TCP,Unknown,2417,6131,131072,16,51495,443,7.891654968261719e-05,5,1318,5,0,,,Unknown,,
128,1739284736.334382,TLS,10.12.16.216,204.79.197.203,TCP,0x0303,2417,6131,131072,24,51495,443,0.002001047134399414,6,1446,6,1,,,Unknown,,
146,1739284736.33473,TLS,10.12.16.216,204.79.197.203,TCP,0x0303,2491,6131,131072,24,51495,443,0.0003478527069091797,7,1592,7,0,,,Unknown,,
1434,1739284736.33511,TCP,10.12.16.216,204.79.197.203,TCP,Unknown,3963,6131,131072,16,51495,443,0.00023293495178222656,8,3026,8,0,,,Unknown,,
1434,1739284736.33511,TCP,10.12.16.216,204.79.197.203,TCP,Unknown,5343,6131,131072,16,51495,443,0.0,9,4460,9,0,,,Unknown,,
1051,1739284736.33511,TLS,10.12.16.216,204.79.197.203,TCP,0x0303,6723,6131,131072,24,51495,443,0.0,10,5511,10,0,,,Unknown,,
66,1739284736.361307,TCP,10.12.16.216,52.236.29.249,TCP,Unknown,0,0,64240,2,51496,443,0.0038399696350097656,1,66,1,1,,,Unknown,,
56,1739284736.386241,TCP,204.79.197.203,10.12.16.216,TCP,Unknown,6131,2583,4193792,16,443,51495,0.015186071395874023,11,6744,11,0,,,Unknown,,
513,1739284736.386241,TLS,204.79.197.203,10.12.16.216,TCP,0x0303,6131,2583,4193792,24,443,51495,0.0,12,7257,12,1,,,Unknown,,
116,1739284736.386241,TLS,204.79.197.203,10.12.16.216,TCP,0x0303,6590,2583,4193792,24,443,51495,0.0,13,7373,13,0,,,Unknown,,
54,1739284736.386321,TCP,10.12.16.216,204.79.197.203,TCP,Unknown,7720,6652,130560,16,51495,443,8.0108642578125e-05,11,5565,11,0,,,Unknown,,
85,1739284736.38652,TLS,10.12.16.216,204.79.197.203,TCP,0x0303,7720,6652,130560,24,51495,443,0.00019884109497070312,12,5650,12,1,,,Unknown,,
85,1739284736.393615,TLS,204.79.197.203,10.12.16.216,TCP,0x0303,6652,3963,4195072,24,443,51495,0.0070950984954833984,14,7458,14,0,,,Unknown,,
56,1739284736.393615,TCP,204.79.197.203,10.12.16.216,TCP,Unknown,6683,5343,4195072,16,443,51495,0.0,15,7514,15,0,,,Unknown,,
56,1739284736.393615,TCP,204.79.197.203,10.12.16.216,TCP,Unknown,6683,7720,4195072,16,443,51495,0.0,16,7570,16,1,,,Unknown,,
333,1739284736.3942,TLS,10.12.16.216,20.190.181.2,TCP,0x0303,1,1,510,24,51442,443,0.0005850791931152344,1,333,1,1,,,Unknown,,
