packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tls_handshake_type,tls_cipher_suite,flow_size,flow_volume,inter_packet_time
56.0,1740682912.86865,TCP,170.114.52.4,192.168.178.140,TCP,Unknown,1.0,1.0,9.0,16.0,Unknown,Unknown,56.0,1.0,0.00011897087097167969
56.0,1740682912.86865,TCP,170.114.52.4,192.168.178.140,TCP,Unknown,1.0,1.0,9.0,16.0,Unknown,Unknown,112.0,2.0,0.0
54.0,1740682912.868701,TCP,192.168.178.140,170.114.52.4,TCP,Unknown,1.0,2.0,516.0,16.0,Unknown,Unknown,54.0,1.0,0.00011897087097167969
54.0,1740682912.868728,TCP,192.168.178.140,170.114.52.4,TCP,Unknown,1.0,2.0,516.0,16.0,Unknown,Unknown,108.0,2.0,2.6941299438476562e-05
56.0,1740682912.938476,TCP,170.114.52.4,192.168.178.140,TCP,Unknown,1.0,1.0,9.0,16.0,Unknown,Unknown,56.0,1.0,0.00011897087097167969
56.0,1740682912.938476,TCP,170.114.52.4,192.168.178.140,TCP,Unknown,1.0,1.0,9.0,16.0,Unknown,Unknown,112.0,2.0,0.0
54.0,1740682912.938518,TCP,192.168.178.140,170.114.52.4,TCP,Unknown,1.0,2.0,516.0,16.0,Unknown,Unknown,54.0,1.0,0.00011897087097167969
54.0,1740682912.938534,TCP,192.168.178.140,170.114.52.4,TCP,Unknown,1.0,2.0,516.0,16.0,Unknown,Unknown,108.0,2.0,1.5974044799804688e-05
68.0,1740682919.92835,TCP,172.64.155.209,192.168.178.140,TCP,Unknown,1.0,2.0,10.0,16.0,Unknown,Unknown,68.0,1.0,0.00011897087097167969
68.0,1740682919.92835,TCP,172.64.155.209,192.168.178.140,TCP,Unknown,1.0,2.0,10.0,16.0,Unknown,Unknown,136.0,2.0,0.0
66.0,1740682921.275886,TCP,192.168.178.140,3.165.255.108,TCP,Unknown,0.0,0.0,65535.0,2.0,Unknown,Unknown,66.0,1.0,0.00011897087097167969
68.0,1740682921.308568,TCP,3.165.255.108,192.168.178.140,TCP,Unknown,0.0,1.0,65535.0,18.0,Unknown,Unknown,68.0,1.0,0.00011897087097167969
54.0,1740682921.308709,TCP,192.168.178.140,3.165.255.108,TCP,Unknown,1.0,1.0,262144.0,16.0,Unknown,Unknown,120.0,2.0,0.03282284736633301
56.0,1740682921.339569,TCP,3.165.255.108,192.168.178.140,TCP,Unknown,1.0,295.0,67072.0,16.0,Unknown,Unknown,124.0,2.0,0.03100109100341797
56.0,1740682921.339569,TCP,3.165.255.108,192.168.178.140,TCP,Unknown,1.0,295.0,67072.0,16.0,Unknown,Unknown,180.0,3.0,0.0
1494.0,1740682921.339569,TCP,3.165.255.108,192.168.178.140,TCP,Unknown,1441.0,295.0,67072.0,24.0,Unknown,Unknown,1674.0,4.0,0.0
54.0,1740682921.339673,TCP,192.168.178.140,3.165.255.108,TCP,Unknown,295.0,4035.0,262144.0,16.0,Unknown,Unknown,174.0,3.0,0.030964136123657227
56.0,1740682921.371247,TCP,3.165.255.108,192.168.178.140,TCP,Unknown,4035.0,359.0,67072.0,16.0,Unknown,Unknown,1730.0,5.0,0.031677961349487305
54.0,1740682921.371341,TCP,192.168.178.140,3.165.255.108,TCP,Unknown,931.0,4276.0,261888.0,16.0,Unknown,Unknown,228.0,4.0,0.03166794776916504
56.0,1740682921.388489,TCP,3.165.255.108,192.168.178.140,TCP,Unknown,4307.0,900.0,68096.0,16.0,Unknown,Unknown,1786.0,6.0,0.017241954803466797
56.0,1740682921.388489,TCP,3.165.255.108,192.168.178.140,TCP,Unknown,4342.0,962.0,68096.0,16.0,Unknown,Unknown,1842.0,7.0,0.0
54.0,1740682921.388575,TCP,192.168.178.140,3.165.255.108,TCP,Unknown,962.0,4342.0,261632.0,16.0,Unknown,Unknown,282.0,5.0,0.017234086990356445
54.0,1740682921.55535,TCP,192.168.178.140,3.165.255.108,TCP,Unknown,962.0,5129.0,260864.0,16.0,Unknown,Unknown,336.0,6.0,0.16677498817443848
54.0,1740682921.558491,TCP,192.168.178.140,3.165.255.108,TCP,Unknown,962.0,5160.0,260864.0,16.0,Unknown,Unknown,390.0,7.0,0.0031409263610839844
