packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tls_handshake_type,tls_cipher_suite,flow_size,flow_volume,inter_packet_time,avg_rtt
246.0,1739285635.5269,DATA,10.12.1.35,255.255.255.255,UDP,Unknown,836.0,836.0,511.0,16.0,Unknown,Unknown,246.0,1.0,0.1238868236541748,
86.0,1739285635.751609,DNS,10.12.16.216,172.16.0.232,UDP,Unknown,836.0,836.0,511.0,16.0,Unknown,Unknown,86.0,1.0,0.1238868236541748,
86.0,1739285635.751742,DNS,10.12.16.216,172.16.0.232,UDP,Unknown,836.0,836.0,511.0,16.0,Unknown,Unknown,86.0,1.0,0.1238868236541748,
276.0,1739285635.754433,DNS,172.16.0.232,10.12.16.216,UDP,Unknown,836.0,836.0,511.0,16.0,Unknown,Unknown,276.0,1.0,0.1238868236541748,
66.0,1739285635.763188,TCP,10.12.16.216,52.123.129.14,TCP,Unknown,0.0,0.0,64240.0,2.0,Unknown,Unknown,66.0,1.0,0.1238868236541748,
244.0,1739285635.807118,DNS,172.16.0.232,10.12.16.216,UDP,Unknown,836.0,836.0,511.0,16.0,Unknown,Unknown,244.0,1.0,0.1238868236541748,
66.0,1739285635.817274,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,0.0,1.0,65535.0,18.0,Unknown,Unknown,66.0,1.0,0.1238868236541748,
54.0,1739285635.817406,TCP,10.12.16.216,52.123.129.14,TCP,Unknown,1.0,1.0,131072.0,16.0,Unknown,Unknown,120.0,2.0,0.05421805381774902,0.05421805381774902
100.0,1739285635.817733,MDNS,10.12.0.254,224.0.0.251,UDP,Unknown,836.0,836.0,511.0,16.0,Unknown,Unknown,100.0,1.0,0.1238868236541748,
506.0,1739285635.817975,TLS,10.12.16.216,52.123.129.14,TCP,0x0301,1381.0,1.0,131072.0,24.0,1.0,Unknown,626.0,3.0,0.0005691051483154297,0.05421805381774902
56.0,1739285635.871952,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,1.0,1381.0,12584192.0,16.0,Unknown,Unknown,122.0,2.0,0.05467796325683594,0.05467796325683594
56.0,1739285635.871952,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,1.0,1833.0,12583680.0,16.0,Unknown,Unknown,178.0,3.0,0.0,0.02733898162841797
153.0,1739285635.871952,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,1.0,1833.0,12583680.0,24.0,2.0,Unknown,331.0,4.0,0.0,0.02733898162841797
732.0,1739285635.873138,TLS,10.12.16.216,52.123.129.14,TCP,0x0303,1833.0,100.0,130816.0,24.0,1.0,Unknown,1358.0,4.0,0.055162906646728516,0.05421805381774902
56.0,1739285635.927319,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,100.0,2511.0,12582912.0,16.0,Unknown,Unknown,387.0,5.0,0.05536699295043945,0.0366816520690918
1434.0,1739285635.929174,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,100.0,2511.0,12582912.0,16.0,2.0,Unknown,1821.0,6.0,0.0018548965454101562,0.027974963188171387
1434.0,1739285635.929174,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,1480.0,2511.0,12582912.0,16.0,Unknown,Unknown,3255.0,7.0,0.0,0.022379970550537108
1434.0,1739285635.929174,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,2860.0,2511.0,12582912.0,16.0,Unknown,Unknown,4689.0,8.0,0.0,0.018649975458780926
1434.0,1739285635.929174,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,4240.0,2511.0,12582912.0,16.0,Unknown,Unknown,6123.0,9.0,0.0,0.01598569325038365
625.0,1739285635.929174,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,5620.0,2511.0,12582912.0,24.0,Unknown,Unknown,6748.0,10.0,0.0,0.01598569325038365
54.0,1739285635.929257,TCP,10.12.16.216,52.123.129.14,TCP,Unknown,2511.0,6191.0,131072.0,16.0,Unknown,Unknown,1412.0,5.0,0.05611896514892578,0.0551685094833374
128.0,1739285635.935031,TLS,10.12.16.216,52.123.129.14,TCP,0x0303,2511.0,6191.0,131072.0,24.0,Unknown,Unknown,1540.0,6.0,0.005774021148681641,0.0551685094833374
146.0,1739285635.935193,TLS,10.12.16.216,52.123.129.14,TCP,0x0303,2585.0,6191.0,131072.0,24.0,Unknown,Unknown,1686.0,7.0,0.0001621246337890625,0.0551685094833374
1082.0,1739285635.935345,TLS,10.12.16.216,52.123.129.14,TCP,0x0303,2677.0,6191.0,131072.0,24.0,Unknown,Unknown,2768.0,8.0,0.0001518726348876953,0.0551685094833374
56.0,1739285635.987813,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,6191.0,2677.0,12582912.0,16.0,Unknown,Unknown,6804.0,11.0,0.0586390495300293,0.021317362785339355
513.0,1739285635.987813,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,6191.0,2677.0,12582912.0,24.0,Unknown,Unknown,7317.0,12.0,0.0,0.021317362785339355
56.0,1739285635.987813,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,6650.0,3705.0,12584192.0,16.0,Unknown,Unknown,7373.0,13.0,0.0,0.01894876692030165
116.0,1739285635.987813,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,6650.0,3705.0,12584192.0,24.0,Unknown,Unknown,7489.0,14.0,0.0,0.01894876692030165
54.0,1739285635.987893,TCP,10.12.16.216,52.123.129.14,TCP,Unknown,3705.0,6712.0,130560.0,16.0,Unknown,Unknown,2822.0,9.0,0.05254817008972168,0.05429506301879883
85.0,1739285635.988213,TLS,10.12.16.216,52.123.129.14,TCP,0x0303,3705.0,6712.0,130560.0,24.0,Unknown,Unknown,2907.0,10.0,0.0003199577331542969,0.05429506301879883
731.0,1739285636.041315,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,6712.0,3705.0,12584192.0,24.0,Unknown,Unknown,8220.0,15.0,0.05350208282470703,0.01894876692030165
56.0,1739285636.041315,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,7389.0,3736.0,12583936.0,16.0,Unknown,Unknown,8276.0,16.0,0.0,0.017053890228271484
902.0,1739285636.049317,TLS,10.12.16.216,52.123.129.14,TCP,0x0303,3736.0,7389.0,129792.0,24.0,Unknown,Unknown,3809.0,11.0,0.06110382080078125,0.05429506301879883
92.0,1739285636.063405,TLS,10.12.16.216,144.195.35.126,TCP,0x0303,1.0,1.0,512.0,24.0,Unknown,Unknown,92.0,1.0,0.1238868236541748,
56.0,1739285636.102946,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,7389.0,4584.0,12583168.0,16.0,Unknown,Unknown,8332.0,17.0,0.061630964279174805,0.02110635150562633
1298.0,1739285636.143879,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,8769.0,4584.0,12583168.0,24.0,Unknown,Unknown,9630.0,18.0,0.04093289375305176,0.02110635150562633
1434.0,1739285636.143879,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,11393.0,4584.0,12583168.0,16.0,Unknown,Unknown,11064.0,19.0,0.0,0.01934748888015747
1434.0,1739285636.143879,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,12773.0,4584.0,12583168.0,16.0,Unknown,Unknown,12498.0,20.0,0.0,0.017859220504760742
54.0,1739285636.143989,TCP,10.12.16.216,52.123.129.14,TCP,Unknown,4584.0,14153.0,131072.0,16.0,Unknown,Unknown,3863.0,12.0,0.09467220306396484,0.06438934803009033
1434.0,1739285636.144324,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,14153.0,4584.0,12583168.0,16.0,Unknown,Unknown,13932.0,21.0,0.0004451274871826172,0.016615356717790877
1434.0,1739285636.144324,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,15533.0,4584.0,12583168.0,16.0,Unknown,Unknown,15366.0,22.0,0.0,0.015507666269938152
1377.0,1739285636.144324,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,16913.0,4584.0,12583168.0,24.0,Unknown,Unknown,16743.0,23.0,0.0,0.015507666269938152
54.0,1739285636.144348,TCP,10.12.16.216,52.123.129.14,TCP,Unknown,4584.0,18236.0,131072.0,16.0,Unknown,Unknown,3917.0,13.0,0.00035881996154785156,0.05158324241638183
1434.0,1739285636.144596,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,19616.0,4584.0,12583168.0,16.0,Unknown,Unknown,18177.0,24.0,0.0002720355987548828,0.014555439352989197
54.0,1739285636.144621,TCP,10.12.16.216,52.123.129.14,TCP,Unknown,4584.0,20996.0,131072.0,16.0,Unknown,Unknown,3971.0,14.0,0.00027298927307128906,0.043031533559163414
1434.0,1739285636.144732,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,20996.0,4584.0,12583168.0,16.0,Unknown,Unknown,19611.0,25.0,0.00013589859008789062,0.013707231072818531
891.0,1739285636.144732,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,22376.0,4584.0,12583168.0,24.0,Unknown,Unknown,20502.0,26.0,0.0,0.013707231072818531
54.0,1739285636.144775,TCP,10.12.16.216,52.123.129.14,TCP,Unknown,4584.0,23213.0,131072.0,16.0,Unknown,Unknown,4025.0,15.0,0.00015401840209960938,0.03690617425101144
