packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tcp_srcport,tcp_dstport,inter_packet_time,flow_size,flow_volume,packets_per_flow,tcp_retransmissions,payload_entropy,tls_handshake_type,tls_cipher_suite,tls_cert_subject,tls_cert_issuer
66,1739285635.763188,TCP,10.12.16.216,52.123.129.14,TCP,Unknown,0,0,64240,2,52006,443,0.008754968643188477,1,66,1,0,,,Unknown,,
66,1739285635.817274,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,0,1,65535,18,443,52006,0.006780147552490234,1,66,1,1,,,Unknown,,
54,1739285635.817406,TCP,10.12.16.216,52.123.129.14,TCP,Unknown,1,1,131072,16,52006,443,0.00013184547424316406,2,120,2,0,,,Unknown,,
506,1739285635.817975,TLS,10.12.16.216,52.123.129.14,TCP,0x0301,1381,1,131072,24,52006,443,0.00024199485778808594,3,626,3,0,,1.0,Unknown,,
56,1739285635.871952,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,1,1381,12584192,16,443,52006,0.010030031204223633,2,122,2,1,,,Unknown,,
56,1739285635.871952,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,1,1833,12583680,16,443,52006,0.0,3,178,3,1,,,Unknown,,
153,1739285635.871952,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,1,1833,12583680,24,443,52006,0.0,4,331,4,1,,2.0,Unknown,,
732,1739285635.873138,TLS,10.12.16.216,52.123.129.14,TCP,0x0303,1833,100,130816,24,52006,443,0.0011858940124511719,4,1358,4,0,,1.0,Unknown,,
56,1739285635.927319,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,100,2511,12582912,16,443,52006,0.030360937118530273,5,387,5,0,,,Unknown,,
1434,1739285635.929174,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,100,2511,12582912,16,443,52006,0.0018548965454101562,6,1821,6,1,,2.0,Unknown,,
1434,1739285635.929174,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,1480,2511,12582912,16,443,52006,0.0,7,3255,7,0,,,Unknown,,
1434,1739285635.929174,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,2860,2511,12582912,16,443,52006,0.0,8,4689,8,0,,,Unknown,,
1434,1739285635.929174,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,4240,2511,12582912,16,443,52006,0.0,9,6123,9,0,,,Unknown,,
625,1739285635.929174,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,5620,2511,12582912,24,443,52006,0.0,10,6748,10,0,,,Unknown,,
54,1739285635.929257,TCP,10.12.16.216,52.123.129.14,TCP,Unknown,2511,6191,131072,16,52006,443,8.296966552734375e-05,5,1412,5,0,,,Unknown,,
128,1739285635.935031,TLS,10.12.16.216,52.123.129.14,TCP,0x0303,2511,6191,131072,24,52006,443,0.005774021148681641,6,1540,6,1,,,Unknown,,
146,1739285635.935193,TLS,10.12.16.216,52.123.129.14,TCP,0x0303,2585,6191,131072,24,52006,443,0.0001621246337890625,7,1686,7,0,,,Unknown,,
1082,1739285635.935345,TLS,10.12.16.216,52.123.129.14,TCP,0x0303,2677,6191,131072,24,52006,443,0.0001518726348876953,8,2768,8,0,,,Unknown,,
56,1739285635.987813,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,6191,2677,12582912,16,443,52006,0.004441976547241211,11,6804,11,0,,,Unknown,,
513,1739285635.987813,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,6191,2677,12582912,24,443,52006,0.0,12,7317,12,1,,,Unknown,,
56,1739285635.987813,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,6650,3705,12584192,16,443,52006,0.0,13,7373,13,0,,,Unknown,,
116,1739285635.987813,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,6650,3705,12584192,24,443,52006,0.0,14,7489,14,1,,,Unknown,,
54,1739285635.987893,TCP,10.12.16.216,52.123.129.14,TCP,Unknown,3705,6712,130560,16,52006,443,8.0108642578125e-05,9,2822,9,0,,,Unknown,,
85,1739285635.988213,TLS,10.12.16.216,52.123.129.14,TCP,0x0303,3705,6712,130560,24,52006,443,0.0003199577331542969,10,2907,10,1,,,Unknown,,
731,1739285636.041315,TLS,52.123.129.14,10.12.16.216,TCP,0x0303,6712,3705,12584192,24,443,52006,0.05310201644897461,15,8220,15,0,,,Unknown,,
56,1739285636.041315,TCP,52.123.129.14,10.12.16.216,TCP,Unknown,7389,3736,12583936,16,443,52006,0.0,16,8276,16,0,,,Unknown,,
