packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tls_handshake_type,tls_cipher_suite,flow_size,flow_volume,inter_packet_time,avg_rtt
144.0,1739284973.097092,DHCPV6,Unknown,Unknown,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,144.0,1.0,0.0009839534759521484,
120.0,1739284973.449767,DHCPV6,Unknown,Unknown,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,264.0,2.0,0.352675199508667,
136.0,1739284973.505808,MDNS,10.12.11.205,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,136.0,1.0,0.0009839534759521484,
152.0,1739284973.512746,MDNS,10.12.11.205,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,288.0,2.0,0.006937980651855469,
152.0,1739284973.513001,MDNS,10.12.11.205,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,440.0,3.0,0.0002548694610595703,
364.0,1739284974.132029,DHCP,0.0.0.0,255.255.255.255,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,364.0,1.0,0.0009839534759521484,
364.0,1739284974.132119,DHCP,0.0.0.0,255.255.255.255,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,728.0,2.0,8.988380432128906e-05,
83.0,1739284974.315234,DNS,10.12.9.184,224.0.0.249,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,83.0,1.0,0.0009839534759521484,
565.0,1739284974.316266,DNS,10.12.9.184,224.0.0.249,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,648.0,2.0,0.001032114028930664,
214.0,1739284974.320657,DATA,10.12.10.127,255.255.255.255,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,214.0,1.0,0.0009839534759521484,
147.0,1739284974.498819,DHCPV6,Unknown,Unknown,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,411.0,3.0,1.0490520000457764,
152.0,1739284974.569277,MDNS,10.12.11.205,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,592.0,4.0,1.0562760829925537,
407.0,1739284974.571998,MDNS,10.12.2.20,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,407.0,1.0,0.0009839534759521484,
425.0,1739284974.572255,MDNS,10.12.14.238,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,425.0,1.0,0.0009839534759521484,
422.0,1739284974.572587,MDNS,10.12.2.20,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,829.0,2.0,0.0005891323089599609,
473.0,1739284974.57274,MDNS,10.12.14.238,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,898.0,2.0,0.0004851818084716797,
440.0,1739284974.573556,MDNS,10.12.14.238,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,1338.0,3.0,0.0008158683776855469,
246.0,1739284975.279444,DATA,10.12.1.35,255.255.255.255,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,246.0,1.0,0.0009839534759521484,
120.0,1739284975.467962,DHCPV6,Unknown,Unknown,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,531.0,4.0,0.9691429138183594,
152.0,1739284975.571229,MDNS,10.12.11.205,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,744.0,5.0,1.0019519329071045,
425.0,1739284975.573652,MDNS,10.12.14.238,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,1763.0,4.0,1.000096082687378,
473.0,1739284975.574037,MDNS,10.12.14.238,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,2236.0,5.0,0.00038504600524902344,
440.0,1739284975.575084,MDNS,10.12.14.238,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,2676.0,6.0,0.001046895980834961,
407.0,1739284975.575483,MDNS,10.12.2.20,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,1236.0,3.0,1.0028960704803467,
422.0,1739284975.575535,MDNS,10.12.2.20,224.0.0.251,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,1658.0,4.0,5.1975250244140625e-05,
91.0,1739284975.956739,DNS,10.12.16.216,172.16.0.232,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,91.0,1.0,0.0009839534759521484,
320.0,1739284975.969181,DNS,172.16.0.232,10.12.16.216,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,320.0,1.0,0.0009839534759521484,
66.0,1739284975.972659,TCP,10.12.16.216,20.44.220.42,TCP,Unknown,0.0,0.0,65535.0,2.0,Unknown,Unknown,66.0,1.0,0.0009839534759521484,
66.0,1739284976.12972,TCP,10.12.16.216,20.44.220.42,TCP,Unknown,0.0,0.0,65535.0,2.0,Unknown,Unknown,66.0,1.0,0.0009839534759521484,
66.0,1739284976.175963,TCP,20.44.220.42,10.12.16.216,TCP,Unknown,0.0,1.0,64240.0,18.0,Unknown,Unknown,66.0,1.0,0.0009839534759521484,
54.0,1739284976.176054,TCP,10.12.16.216,20.44.220.42,TCP,Unknown,1.0,1.0,262144.0,16.0,Unknown,Unknown,120.0,2.0,0.20339488983154297,0.20339488983154297
347.0,1739284976.179363,TLS,10.12.16.216,20.44.220.42,TCP,0x0301,1.0,1.0,262144.0,24.0,1.0,Unknown,467.0,3.0,0.003309011459350586,0.20339488983154297
79.0,1739284976.277996,DNS,10.12.16.216,172.16.0.232,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,79.0,1.0,0.0009839534759521484,
79.0,1739284976.278267,DNS,10.12.16.216,172.16.0.232,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,79.0,1.0,0.0009839534759521484,
95.0,1739284976.282717,DNS,172.16.0.232,10.12.16.216,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,95.0,1.0,0.0009839534759521484,
1292.0,1739284976.300256,QUIC,10.12.16.216,142.250.27.84,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,1292.0,1.0,0.0009839534759521484,
1292.0,1739284976.300369,QUIC,10.12.16.216,142.250.27.84,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,2584.0,2.0,0.00011301040649414062,
66.0,1739284976.328799,TCP,20.44.220.42,10.12.16.216,TCP,Unknown,0.0,1.0,64240.0,18.0,Unknown,Unknown,66.0,1.0,0.0009839534759521484,
54.0,1739284976.328905,TCP,10.12.16.216,20.44.220.42,TCP,Unknown,1.0,1.0,262144.0,16.0,Unknown,Unknown,120.0,2.0,0.19918513298034668,0.19918513298034668
347.0,1739284976.332279,TLS,10.12.16.216,20.44.220.42,TCP,0x0301,1.0,1.0,262144.0,24.0,1.0,Unknown,467.0,3.0,0.003373861312866211,0.19918513298034668
79.0,1739284976.334633,DNS,172.16.0.232,10.12.16.216,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,79.0,1.0,0.0009839534759521484,
212.0,1739284976.356196,SSDP,10.12.16.216,239.255.255.250,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,212.0,1.0,0.0009839534759521484,
82.0,1739284976.368236,QUIC,142.250.27.84,10.12.16.216,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,82.0,1.0,0.0009839534759521484,
1292.0,1739284976.369534,QUIC,142.250.27.84,10.12.16.216,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,1374.0,2.0,0.0012979507446289062,
1292.0,1739284976.369534,QUIC,142.250.27.84,10.12.16.216,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,2666.0,3.0,0.0,
1292.0,1739284976.369534,QUIC,142.250.27.84,10.12.16.216,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,3958.0,4.0,0.0,
1292.0,1739284976.369859,QUIC,142.250.27.84,10.12.16.216,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,5250.0,5.0,0.0003249645233154297,
1292.0,1739284976.369859,QUIC,142.250.27.84,10.12.16.216,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,6542.0,6.0,0.0,
1292.0,1739284976.369859,QUIC,142.250.27.84,10.12.16.216,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,7834.0,7.0,0.0,
1292.0,1739284976.37127,QUIC,10.12.16.216,142.250.27.84,UDP,Unknown,3783.0,3632.0,146432.0,16.0,Unknown,Unknown,3876.0,3.0,0.07090091705322266,
