packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tcp_srcport,tcp_dstport,inter_packet_time,flow_size,flow_volume,packets_per_flow,tcp_retransmissions,payload_entropy,tls_handshake_type,tls_cipher_suite
66,1739284975.972659,TCP,10.12.16.216,20.44.220.42,TCP,Unknown,0,0,65535,2,51629,443,0.0034780502319335938,1,66,1,0,,,Unknown
66,1739284976.12972,TCP,10.12.16.216,20.44.220.42,TCP,Unknown,0,0,65535,2,51630,443,0.011364936828613281,2,132,2,1,,,Unknown
66,1739284976.175963,TCP,20.44.220.42,10.12.16.216,TCP,Unknown,0,1,64240,18,443,51629,0.003042936325073242,1,66,1,1,,,Unknown
54,1739284976.176054,TCP,10.12.16.216,20.44.220.42,TCP,Unknown,1,1,262144,16,51629,443,9.107589721679688e-05,3,186,3,0,,,Unknown
347,1739284976.179363,TLS,10.12.16.216,20.44.220.42,TCP,0x0301,1,1,262144,24,51629,443,0.003309011459350586,4,533,4,1,,1.0,Unknown
66,1739284976.328799,TCP,20.44.220.42,10.12.16.216,TCP,Unknown,0,1,64240,18,443,51630,0.008420944213867188,2,132,2,1,,,Unknown
54,1739284976.328905,TCP,10.12.16.216,20.44.220.42,TCP,Unknown,1,1,262144,16,51630,443,0.00010609626770019531,5,587,5,1,,,Unknown
347,1739284976.332279,TLS,10.12.16.216,20.44.220.42,TCP,0x0301,1,1,262144,24,51630,443,0.003373861312866211,6,934,6,1,,1.0,Unknown
56,1739284976.376865,TCP,20.44.220.42,10.12.16.216,TCP,Unknown,1,294,64128,16,443,51629,0.005347013473510742,3,188,3,1,,,Unknown
256,1739284976.382301,TLS,10.12.16.216,35.186.224.24,TCP,0x0303,1,1,512,24,51590,443,0.003940105438232422,1,256,1,1,,,Unknown
1434,1739284976.382399,TLS,20.44.220.42,10.12.16.216,TCP,0x0303,1,294,64128,16,443,51629,9.799003601074219e-05,4,1622,4,1,,2.0,Unknown
1434,1739284976.382399,TCP,20.44.220.42,10.12.16.216,TCP,Unknown,1381,294,64128,24,443,51629,0.0,5,3056,5,0,,,Unknown
1434,1739284976.382399,TCP,20.44.220.42,10.12.16.216,TCP,Unknown,2761,294,64128,16,443,51629,0.0,6,4490,6,0,,,Unknown
781,1739284976.382399,TLS,20.44.220.42,10.12.16.216,TCP,0x0303,4141,294,64128,24,443,51629,0.0,7,5271,7,0,,,Unknown
54,1739284976.382452,TCP,10.12.16.216,20.44.220.42,TCP,Unknown,294,4868,262144,16,51629,443,5.2928924560546875e-05,7,988,7,0,,,Unknown
134,1739284976.385776,TLS,10.12.16.216,20.44.220.42,TCP,0x0303,294,4868,262144,24,51629,443,0.0011849403381347656,8,1122,8,1,,,Unknown
148,1739284976.403743,TLS,10.12.16.216,20.44.220.42,TCP,0x0303,1754,4868,262144,24,51629,443,0.007359981536865234,9,1270,9,0,,,Unknown
66,1739284976.425621,TCP,10.12.16.216,142.250.27.84,TCP,Unknown,0,0,64240,2,51633,443,0.00025200843811035156,1,66,1,1,,,Unknown
66,1739284976.425997,TCP,10.12.16.216,35.186.224.24,TCP,Unknown,0,0,64240,2,51634,443,0.00037598609924316406,2,322,2,1,,,Unknown
56,1739284976.43976,TCP,35.186.224.24,10.12.16.216,TCP,Unknown,1,203,1052,16,443,51590,0.0,1,56,1,1,,,Unknown
1434,1739284976.459711,TLS,35.186.224.24,10.12.16.216,TCP,0x0303,1,203,1052,24,443,51590,0.01704096794128418,2,1490,2,1,,,Unknown
866,1739284976.461057,TLS,35.186.224.24,10.12.16.216,TCP,0x0303,1381,203,1052,24,443,51590,0.0013458728790283203,3,2356,3,1,,,Unknown
54,1739284976.461122,TCP,10.12.16.216,35.186.224.24,TCP,Unknown,203,2193,512,16,51590,443,6.508827209472656e-05,3,376,3,0,,,Unknown
66,1739284976.479465,TCP,35.186.224.24,10.12.16.216,TCP,Unknown,0,1,65535,18,443,51634,0.014616966247558594,4,2422,4,1,,,Unknown
54,1739284976.479567,TCP,10.12.16.216,35.186.224.24,TCP,Unknown,1,1,131072,16,51634,443,0.00010204315185546875,4,430,4,1,,,Unknown
501,1739284976.480163,TLS,10.12.16.216,35.186.224.24,TCP,0x0301,1381,1,131072,24,51634,443,0.0005960464477539062,5,931,5,1,,1.0,Unknown
66,1739284976.494442,TCP,142.250.27.84,10.12.16.216,TCP,Unknown,0,1,65535,18,443,51633,0.010221004486083984,1,66,1,1,,,Unknown
54,1739284976.494538,TCP,10.12.16.216,142.250.27.84,TCP,Unknown,1,1,131072,16,51633,443,9.608268737792969e-05,2,120,2,1,,,Unknown
435,1739284976.494958,TLS,10.12.16.216,142.250.27.84,TCP,0x0301,1381,1,131072,24,51633,443,0.00041985511779785156,3,555,3,1,,1.0,Unknown
66,1739284976.531454,TCP,10.12.16.216,35.186.224.24,TCP,Unknown,0,0,64240,2,51635,443,0.0002892017364501953,6,997,6,1,,,Unknown
56,1739284976.532712,TCP,20.44.220.42,10.12.16.216,TCP,Unknown,1,294,64128,16,443,51630,0.00022792816162109375,8,5327,8,1,,,Unknown
56,1739284976.543407,TCP,35.186.224.24,10.12.16.216,TCP,Unknown,1,1381,268544,16,443,51634,0.01024007797241211,5,2478,5,1,,,Unknown
56,1739284976.543407,TCP,35.186.224.24,10.12.16.216,TCP,Unknown,1,1828,268288,16,443,51634,0.0,6,2534,6,1,,,Unknown
